(epoch: 114, iters: 500, time: 5.277, data: 8.247) D_A: 0.098 G_A: 0.220 cycle_A: 0.131 idt_A: 0.101 D_B: 0.052 G_B: 0.173 cycle_B: 0.218 idt_B: 0.054 
(epoch: 115, iters: 500, time: 6.034, data: 21.518) D_A: 0.137 G_A: 0.192 cycle_A: 0.128 idt_A: 0.056 D_B: 0.064 G_B: 0.029 cycle_B: 0.130 idt_B: 0.056 
(epoch: 116, iters: 500, time: 5.362, data: 3.997) D_A: 0.324 G_A: 0.086 cycle_A: 0.115 idt_A: 0.036 D_B: 0.170 G_B: 0.970 cycle_B: 0.101 idt_B: 0.045 
(epoch: 117, iters: 500, time: 5.189, data: 2.788) D_A: 0.174 G_A: 0.341 cycle_A: 0.129 idt_A: 0.040 D_B: 0.103 G_B: 0.403 cycle_B: 0.115 idt_B: 0.050 
(epoch: 118, iters: 500, time: 5.348, data: 11.605) D_A: 0.263 G_A: 0.225 cycle_A: 0.155 idt_A: 0.055 D_B: 0.209 G_B: 0.362 cycle_B: 0.157 idt_B: 0.064 
(epoch: 119, iters: 500, time: 5.395, data: 33.551) D_A: 0.236 G_A: 0.203 cycle_A: 0.124 idt_A: 0.039 D_B: 0.106 G_B: 0.232 cycle_B: 0.110 idt_B: 0.050 
(epoch: 120, iters: 500, time: 5.391, data: 9.623) D_A: 0.235 G_A: 0.827 cycle_A: 0.137 idt_A: 0.046 D_B: 0.116 G_B: 0.395 cycle_B: 0.118 idt_B: 0.054 
(epoch: 121, iters: 500, time: 5.358, data: 18.444) D_A: 0.572 G_A: 0.017 cycle_A: 0.122 idt_A: 0.053 D_B: 0.191 G_B: 0.192 cycle_B: 0.123 idt_B: 0.050 
(epoch: 122, iters: 500, time: 5.117, data: 28.401) D_A: 0.281 G_A: 0.126 cycle_A: 0.201 idt_A: 0.046 D_B: 0.018 G_B: 0.063 cycle_B: 0.126 idt_B: 0.076 
(epoch: 123, iters: 500, time: 5.193, data: 19.132) D_A: 0.289 G_A: 0.238 cycle_A: 0.173 idt_A: 0.084 D_B: 0.081 G_B: 0.320 cycle_B: 0.158 idt_B: 0.051 
(epoch: 124, iters: 500, time: 5.309, data: 15.788) D_A: 0.260 G_A: 0.227 cycle_A: 0.154 idt_A: 0.082 D_B: 0.093 G_B: 0.251 cycle_B: 0.176 idt_B: 0.065 
(epoch: 125, iters: 500, time: 5.119, data: 6.348) D_A: 0.249 G_A: 0.233 cycle_A: 0.128 idt_A: 0.043 D_B: 0.470 G_B: 0.017 cycle_B: 0.117 idt_B: 0.056 
(epoch: 126, iters: 500, time: 5.201, data: 27.776) D_A: 0.255 G_A: 0.233 cycle_A: 0.163 idt_A: 0.047 D_B: 0.243 G_B: 0.663 cycle_B: 0.138 idt_B: 0.078 
(epoch: 127, iters: 500, time: 5.131, data: 26.766) D_A: 0.272 G_A: 0.196 cycle_A: 0.124 idt_A: 0.065 D_B: 0.069 G_B: 0.082 cycle_B: 0.175 idt_B: 0.053 
(epoch: 128, iters: 500, time: 6.112, data: 26.982) D_A: 0.253 G_A: 0.282 cycle_A: 0.148 idt_A: 0.050 D_B: 0.042 G_B: 0.112 cycle_B: 0.144 idt_B: 0.061 
(epoch: 129, iters: 500, time: 5.264, data: 30.472) D_A: 0.271 G_A: 0.196 cycle_A: 0.167 idt_A: 0.044 D_B: 0.231 G_B: 0.739 cycle_B: 0.126 idt_B: 0.082 
